Crash.ID,State,Month,Year,Dayweek,Time,Crash.Type,Bus.Involvement,Heavy.Rigid.Truck.Involvement,Articulated.Truck.Involvement,Speed.Limit,Road.User,Gender,Age,National.Remoteness.Areas,SA4.Name.2016,National.LGA.Name.2017,National.Road.Type,Christmas.Period,Easter.Period,Age.Group,Day.of.week,TimeOfDay,NumberOfAccidents
20154004,SA,1,2015,Saturday,9:10,Multiple,No,Yes,No,110,Driver,Male,60,Outer Regional Australia,South Australia - Outback,Franklin Harbour (DC),Arterial Road,No,No,40_to_64,Weekend,Day,1
20154008,SA,1,2015,Monday,13:04,Multiple,No,No,Yes,60,Pedal cyclist,Female,37,Major Cities of Australia,Adelaide - West,Charles Sturt (C),Arterial Road,No,No,26_to_39,Weekday,Day,1
20155055,WA,1,2015,Tuesday,14:46,Single,No,No,No,110,Passenger,Male,11,Very Remote Australia,Western Australia - Outback (North),East Pilbara (S),NATIONAL OR STATE HIGHWAY,No,No,0_to_16,Weekday,Day,1
20152094,Vic,1,2015,Thursday,6:51,Single,No,No,No,70,Driver,Male,28,Major Cities of Australia,Melbourne - Inner South,Bayside (C),Arterial Road,Yes,No,26_to_39,Weekday,Day,1
20145141,WA,12,2014,Thursday,0:09,Single,No,No,No,110,Passenger,Male,43,Outer Regional Australia,Bunbury,Boyup Brook (S),ARTERIAL ROAD,No,No,40_to_64,Weekday,Night,1
20146002,Tas,11,2014,Thursday,17:00,Single,No,No,No,100,Driver,Male,69,Remote Australia,West and North West,West Coast (M),National or State Highway,No,No,65_to_74,Weekday,Day,1
20145139,WA,10,2014,Sunday,18:55,Multiple,Yes,No,No,110,Passenger,Female,5,Very Remote Australia,Western Australia - Outback (South),Kalgoorlie/Boulder (C),NATIONAL OR STATE HIGHWAY,No,No,0_to_16,Weekend,Night,1
20145040,WA,10,2014,Monday,15:25,Single,No,No,No,60,Motorcycle rider,Male,34,Major Cities of Australia,Perth - South East,Gosnells (C),ARTERIAL ROAD,No,No,26_to_39,Weekday,Day,1
20144061,SA,9,2014,Monday,9:25,Single,No,No,No,110,Driver,Female,26,Inner Regional Australia,Barossa - Yorke - Mid North,Light (RegC),National or State Highway,No,No,26_to_39,Weekday,Day,1
20144090,SA,9,2014,Friday,10:40,Single,No,No,No,100,Motorcycle rider,Male,66,Very Remote Australia,South Australia - Outback,Unincorporated SA,Sub-arterial Road,No,No,65_to_74,Weekday,Day,1
20145147,WA,7,2014,Saturday,16:25,Single,No,No,No,50,Motorcycle rider,Male,19,Major Cities of Australia,Perth - South West,Cockburn (C),LOCAL ROAD,No,No,17_to_25,Weekend,Day,1
20146025,Tas,7,2014,Thursday,13:35,Multiple,No,No,Yes,110,Passenger,Female,76,Outer Regional Australia,Launceston and North East,Northern Midlands (M),National or State Highway,No,No,75_or_older,Weekday,Day,1
20145008,WA,4,2014,Monday,22:45,Single,No,No,No,50,Passenger,Male,35,Major Cities of Australia,Perth - North East,Mundaring (S),LOCAL ROAD,No,No,26_to_39,Weekday,Night,1
20145125,WA,3,2014,Sunday,6:00,Single,No,No,No,90,Pedestrian,Male,49,Remote Australia,Western Australia - Wheat Belt,Lake Grace (S),ARTERIAL ROAD,No,No,40_to_64,Weekend,Day,1
20145020,WA,1,2014,Saturday,12:25,Single,No,No,No,110,Motorcycle rider,Male,43,Inner Regional Australia,Western Australia - Wheat Belt,Chittering (S),ARTERIAL ROAD,No,No,40_to_64,Weekend,Day,1
20144022,SA,1,2014,Monday,9:35,Single,No,No,No,50,Pedestrian,Female,82,Major Cities of Australia,Adelaide - North,Tea Tree Gully (C),Local Road,No,No,75_or_older,Weekday,Day,1
